sample	pclass	type	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
TCGA-BT-A20U-01A-11D-A14V-01	BLCA_	a	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	97	0	55	0	0	0	0
TCGA-BT-A20U-01A-11D-A14V-01	BLCA_	d	0	40	0	244	7	0	65	0	3345	0	0	0	6	5	0	0	0	0	0	0	0	0	0
TCGA-BL-A13I-01A-11D-A13V-01	BLCA_	a	0	0	0	0	0	0	0	0	0	360	0	0	365	0	0	0	0	0	0	0	0	0	0
TCGA-BL-A13I-01A-11D-A13V-01	BLCA_	d	0	613	0	330	275	0	133	27	3913	12	0	133	15	6	0	148	0	0	6	0	0	0	0
TCGA-DK-A1AB-01A-11D-A13V-01	BLCA_	a	381	0	0	0	0	0	0	0	2733	0	241	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A1AB-01A-11D-A13V-01	BLCA_	d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3412	0	0	0	0
TCGA-FD-A3B8-01A-31D-A20B-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	2629	247	0	0	0
TCGA-FD-A3B8-01A-31D-A20B-01	BLCA_	d	0	0	0	0	0	0	0	4162	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
TCGA-CF-A3MF-01A-12D-A219-01	BLCA_	a	0	0	0	15	0	0	93	0	0	0	0	0	0	0	0	0	43	0	0	0	0	5843	0
TCGA-CF-A3MF-01A-12D-A219-01	BLCA_	d	0	427	0	918	0	0	0	0	0	18	0	0	0	0	0	82	0	0	0	0	0	0	0
TCGA-DK-A3WW-01A-22D-A23L-01	BLCA_	a	0	0	0	0	283	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0
TCGA-DK-A3WW-01A-22D-A23L-01	BLCA_	d	0	228	36	0	113	0	0	0	1699	0	0	29	200	0	0	253	0	0	0	0	8	5395	122
TCGA-DK-A1AA-01A-11D-A13V-01	BLCA_	a	0	0	0	0	111	20	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	19
TCGA-DK-A1AA-01A-11D-A13V-01	BLCA_	d	212	9	192	0	6368	0	9	0	0	1179	0	0	3657	0	0	0	0	0	0	0	0	0	0
TCGA-CF-A3MG-01A-11D-A20B-01	BLCA_	a	0	0	0	17	0	0	0	0	0	0	2511	0	0	0	0	0	0	0	0	0	0	0	7188
TCGA-CF-A3MG-01A-11D-A20B-01	BLCA_	d	11	0	0	0	0	432	0	0	2242	0	21	0	0	0	0	0	331	0	23	5	8	0	18
TCGA-GD-A3OP-01A-21D-A21Y-01	BLCA_	a	0	0	0	0	0	0	0	0	2616	0	0	0	0	0	39	0	459	0	0	0	0	0	0
TCGA-GD-A3OP-01A-21D-A21Y-01	BLCA_	d	106	0	0	0	0	0	0	0	0	0	0	0	9976	0	0	0	0	0	0	0	0	0	0
TCGA-FD-A3SM-01A-11D-A22Y-01	BLCA_	a	0	0	0	0	0	0	0	1267	0	0	0	0	0	129	0	0	0	0	0	0	4367	0	0
TCGA-FD-A3SM-01A-11D-A22Y-01	BLCA_	d	0	1135	0	0	0	0	0	106	229	0	0	0	0	0	12	809	81	0	113	46	6195	0	0
TCGA-FD-A3SO-01A-11D-A22Y-01	BLCA_	a	0	0	225	0	0	0	0	0	0	0	0	836	0	0	0	0	0	0	886	0	0	0	0
TCGA-FD-A3SO-01A-11D-A22Y-01	BLCA_	d	15064	0	0	11	0	0	0	0	67	6	0	1517	0	0	0	0	0	0	0	0	0	0	0
TCGA-GC-A3BM-01A-11D-A22Y-01	BLCA_	a	0	0	991	42	0	0	7786	0	5357	0	6018	0	0	0	92	0	0	0	0	0	0	0	0
TCGA-GC-A3BM-01A-11D-A22Y-01	BLCA_	d	0	483	385	5	0	0	0	0	0	0	13	0	0	0	147	0	192	0	0	0	0	0	281
TCGA-DK-A1AG-01A-11D-A13V-01	BLCA_	a	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A1AG-01A-11D-A13V-01	BLCA_	d	3595	3698	676	16141	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	789	0	0	0
TCGA-BL-A3JM-01A-12D-A219-01	BLCA_	a	0	0	18690	0	48	0	0	0	0	0	81	17	0	0	0	0	0	13	0	0	0	0	0
TCGA-BL-A3JM-01A-12D-A219-01	BLCA_	d	0	99	1740	0	0	0	0	0	0	0	17	0	4211	0	0	170	0	0	0	0	0	18	0
TCGA-FD-A3SQ-01A-21D-A22Y-01	BLCA_	a	20844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1297	0	0	0	0	0	0
TCGA-FD-A3SQ-01A-21D-A22Y-01	BLCA_	d	0	0	0	451	1061	0	0	0	2377	0	0	0	0	101	0	0	0	0	0	0	0	0	0
TCGA-GV-A3JX-01A-11D-A20B-01	BLCA_	a	1299	0	0	0	0	2936	0	873	0	0	21	0	5	0	0	0	0	316	0	0	0	0	0
TCGA-GV-A3JX-01A-11D-A20B-01	BLCA_	d	0	0	7	0	0	0	27	814	9	0	13	0	7823	13138	0	0	8	0	78	0	0	0	0
TCGA-GD-A3OQ-01A-32D-A21Y-01	BLCA_	a	53	0	27	0	129	0	20896	0	0	0	0	0	0	0	0	0	0	6	5207	0	0	0	0
TCGA-GD-A3OQ-01A-32D-A21Y-01	BLCA_	d	0	0	0	0	0	0	1862	0	288	0	0	0	10	0	0	0	0	0	0	0	0	0	0
TCGA-CF-A27C-01A-11D-A16M-01	BLCA_	a	0	13	17	1072	0	0	0	0	0	549	0	0	0	0	0	0	10323	650	0	0	0	0	0
TCGA-CF-A27C-01A-11D-A16M-01	BLCA_	d	7	213	0	2020	5	8415	304	436	1676	0	0	2633	282	0	0	0	0	6	0	0	0	0	5
TCGA-C4-A0EZ-01A-21D-A10T-01	BLCA_	a	5	16	1555	8	259	2392	15	0	0	14402	0	0	0	0	0	0	835	136	4820	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10T-01	BLCA_	d	168	102	584	823	327	501	444	108	202	147	250	271	22	135	23	31	22	0	21	0	45	0	427
TCGA-GV-A3JV-01A-11D-A21Y-01	BLCA_	a	0	0	2011	0	0	687	0	32	0	0	294	2502	0	935	0	0	12258	0	0	0	0	0	0
TCGA-GV-A3JV-01A-11D-A21Y-01	BLCA_	d	7	262	0	2871	980	0	1421	0	309	0	0	24	2717	354	0	401	0	575	0	785	10	0	116
TCGA-CU-A3YL-01A-11D-A22Y-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CU-A3YL-01A-11D-A22Y-01	BLCA_	d	851	22160	249	1999	0	0	6	5	5254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-G2-A3IB-01A-11D-A20B-01	BLCA_	a	1501	126	0	0	0	0	542	0	0	0	5312	35	0	47	0	0	0	0	431	39	1765	26	0
TCGA-G2-A3IB-01A-11D-A20B-01	BLCA_	d	0	82	18	6	29	0	0	0	0	0	13674	0	0	0	0	0	9	0	2714	0	4577	0	0
TCGA-BT-A3PK-01A-21D-A21Y-01	BLCA_	a	27419	0	0	3946	0	422	5	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0
TCGA-BT-A3PK-01A-21D-A21Y-01	BLCA_	d	19	101	0	0	18	0	13	15	43	0	0	0	52	0	0	0	0	0	0	0	0	0	0
TCGA-BT-A20Q-01A-11D-A14V-01	BLCA_	a	0	0	0	33	0	0	16	0	0	3717	0	0	0	0	742	0	804	0	0	799	0	0	0
TCGA-BT-A20Q-01A-11D-A14V-01	BLCA_	d	1316	14135	184	943	793	1576	0	0	341	5588	326	76	0	0	0	886	0	0	0	0	0	0	0
TCGA-K4-A3WU-01B-11D-A23L-01	BLCA_	a	11688	13915	326	0	0	0	0	0	0	113	0	5656	372	2670	0	0	0	0	361	0	0	0	0
TCGA-K4-A3WU-01B-11D-A23L-01	BLCA_	d	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	5	0	0	0	0	99
TCGA-DK-A3IU-01A-11D-A20B-01	BLCA_	a	6293	0	0	0	0	10922	0	858	0	0	0	0	0	0	38	0	0	0	0	8069	0	0	0
TCGA-DK-A3IU-01A-11D-A20B-01	BLCA_	d	0	10251	0	0	0	0	0	0	0	0	84	0	0	0	0	18	0	15	0	0	0	0	0
TCGA-GC-A3WC-01A-31D-A22Y-01	BLCA_	a	0	0	0	14455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0	0
TCGA-GC-A3WC-01A-31D-A22Y-01	BLCA_	d	0	23295	0	48	44	69	0	349	0	71	0	0	6	0	0	0	0	0	0	0	0	0	0
TCGA-BT-A0YX-01A-11D-A10T-01	BLCA_	a	334	0	0	0	202	0	0	25634	0	208	163	149	0	0	0	113	60	0	0	0	0	239	0
TCGA-BT-A0YX-01A-11D-A10T-01	BLCA_	d	0	0	0	155	0	10	0	0	12978	0	0	0	0	0	0	51	0	0	0	0	0	0	0
TCGA-BT-A20X-01A-11D-A16M-01	BLCA_	a	0	0	0	0	0	0	12410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BT-A20X-01A-11D-A16M-01	BLCA_	d	0	17776	250	0	5	0	0	0	96	0	0	11406	0	5	0	0	0	0	0	0	0	0	154
TCGA-G2-A2EO-01A-11D-A17S-01	BLCA_	a	0	0	3998	96	11229	0	70	13499	8	105	12	0	0	0	0	214	9027	0	0	0	0	0	122
TCGA-G2-A2EO-01A-11D-A17S-01	BLCA_	d	188	2092	0	1109	630	0	0	0	123	0	0	0	0	0	0	37	3131	0	0	0	0	0	0
TCGA-DK-A2I4-01A-11D-A219-01	BLCA_	a	0	0	3259	0	0	14646	0	0	5804	0	0	1521	0	0	15183	0	0	0	0	0	0	0	0
TCGA-DK-A2I4-01A-11D-A219-01	BLCA_	d	0	0	46	0	0	2758	0	0	0	0	0	0	2521	0	0	0	0	0	0	0	0	0	0
TCGA-E7-A3X6-01A-12D-A22Y-01	BLCA_	a	280	409	0	0	33	0	0	1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E7-A3X6-01A-12D-A22Y-01	BLCA_	d	0	20698	538	12792	0	296	1876	7151	210	191	0	428	0	0	73	0	19	0	0	42	0	98	506
TCGA-FD-A3B3-01A-12D-A201-01	BLCA_	a	0	0	66	0	629	7174	0	0	0	8553	12773	2271	0	0	0	132	0	6891	1234	0	0	33	0
TCGA-FD-A3B3-01A-12D-A201-01	BLCA_	d	0	0	0	0	0	0	0	0	0	0	0	81	6860	0	0	0	0	5	0	0	0	0	0
TCGA-BT-A3PH-01A-11D-A21Y-01	BLCA_	a	10865	3933	5622	0	0	0	0	337	54	652	1947	0	0	241	414	0	3594	376	78	375	0	0	0
TCGA-BT-A3PH-01A-11D-A21Y-01	BLCA_	d	6	819	0	0	0	0	0	0	0	0	2930	0	0	0	13644	0	0	0	968	0	0	0	5
TCGA-G2-A2EC-01A-11D-A17S-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-G2-A2EC-01A-11D-A17S-01	BLCA_	d	0	218	445	0	44625	5	6	0	419	0	5	302	0	0	266	5	0	0	0	0	0	0	1417
TCGA-K4-A3WS-01A-11D-A22Y-01	BLCA_	a	23780	0	0	4032	1817	724	0	0	0	1971	0	863	0	0	0	0	11	1767	250	0	0	93	0
TCGA-K4-A3WS-01A-11D-A22Y-01	BLCA_	d	10	1682	91	6	0	70	573	0	4074	474	0	0	48	0	0	0	0	1245	0	105	0	0	5012
TCGA-FD-A3N6-01A-11D-A219-01	BLCA_	a	43	0	0	32	0	0	8961	10873	65	0	0	0	0	80	0	336	0	0	0	0	0	0	0
TCGA-FD-A3N6-01A-11D-A219-01	BLCA_	d	0	474	63	116	53	0	26441	527	525	72	0	24	0	0	0	0	0	0	0	84	0	0	0
TCGA-H4-A2HO-01A-11D-A17S-01	BLCA_	a	7214	2601	5706	1010	2446	1618	1521	1515	1177	3747	3494	3383	241	1854	3965	1012	3267	390	1013	977	0	679	383
TCGA-H4-A2HO-01A-11D-A17S-01	BLCA_	d	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GV-A3QK-01B-11D-A23L-01	BLCA_	a	0	10891	0	0	0	0	0	0	0	0	5269	0	0	0	0	0	0	0	0	0	0	0	12455
TCGA-GV-A3QK-01B-11D-A23L-01	BLCA_	d	26	41	0	0	6	1079	0	196	17912	0	118	0	310	3832	0	0	113	0	5	0	0	0	0
TCGA-DK-A3IS-01A-21D-A219-01	BLCA_	a	11748	0	0	1744	0	0	0	1628	0	0	0	14	0	0	0	0	38	0	0	0	0	0	0
TCGA-DK-A3IS-01A-21D-A219-01	BLCA_	d	19820	146	1063	0	791	1767	0	0	0	8517	5	0	0	16	0	0	5	0	0	0	7392	0	0
TCGA-BT-A20R-01A-12D-A16M-01	BLCA_	a	601	15365	18291	0	0	0	0	0	0	0	4804	0	0	0	0	28	0	2145	4055	211	0	0	0
TCGA-BT-A20R-01A-12D-A16M-01	BLCA_	d	0	0	0	12275	0	172	0	0	0	0	0	0	0	0	0	5	0	2204	613	0	0	0	0
TCGA-DK-A3IL-01A-11D-A20B-01	BLCA_	a	901	335	568	0	0	7813	0	0	0	1177	10885	1635	0	0	0	239	0	104	0	0	0	0	340
TCGA-DK-A3IL-01A-11D-A20B-01	BLCA_	d	0	24420	28	75	5	0	5	0	0	311	0	12402	0	0	0	0	0	0	0	0	7	0	0
TCGA-FT-A3EE-01A-11D-A201-01	BLCA_	a	62	24688	0	1841	0	209	0	16968	0	17553	0	0	370	0	0	0	0	0	0	0	0	0	0
TCGA-FT-A3EE-01A-11D-A201-01	BLCA_	d	0	0	0	217	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	74
TCGA-FJ-A3ZF-01A-11D-A23L-01	BLCA_	a	5895	13097	0	0	0	3320	699	17523	0	0	0	0	0	0	0	0	9763	0	0	0	0	754	0
TCGA-FJ-A3ZF-01A-11D-A23L-01	BLCA_	d	0	240	0	267	0	0	2727	0	0	0	0	0	0	0	0	0	0	0	603	8785	0	0	5
TCGA-E5-A2PC-01A-11D-A201-01	BLCA_	a	24349	2045	0	0	6356	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E5-A2PC-01A-11D-A201-01	BLCA_	d	0	3784	133	14975	0	7323	165	0	1376	311	6	22	2873	0	0	28	139	0	0	0	0	0	0
TCGA-G2-A2ES-01A-11D-A17S-01	BLCA_	a	2116	114	14183	2039	439	314	145	234	0	0	7531	4338	0	0	114	244	322	267	0	0	2936	0	0
TCGA-G2-A2ES-01A-11D-A17S-01	BLCA_	d	107	722	22562	139	170	10	1576	13	257	0	0	772	0	129	0	6	0	182	34	0	5350	97	40
TCGA-GU-A42R-01A-11D-A23L-01	BLCA_	a	0	0	0	1390	0	0	0	0	0	0	0	7356	6001	0	85	0	603	24	0	0	118	0	0
TCGA-GU-A42R-01A-11D-A23L-01	BLCA_	d	27028	94	6710	3844	232	0	102	1572	6907	0	414	0	991	0	75	2079	0	0	0	0	275	29	1772
TCGA-C4-A0F6-01A-11D-A10T-01	BLCA_	a	0	0	0	5	2094	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	31822
TCGA-C4-A0F6-01A-11D-A10T-01	BLCA_	d	0	2759	868	686	110	1189	0	0	1514	0	0	209	1924	0	6011	707	275	916	0	0	98	6277	10182
TCGA-CF-A1HR-01A-11D-A13V-01	BLCA_	a	0	0	0	0	0	54	0	0	0	0	0	0	27692	0	0	0	0	0	0	0	0	0	97
TCGA-CF-A1HR-01A-11D-A13V-01	BLCA_	d	23	14653	0	1045	8004	12479	2608	0	379	0	157	0	8	0	5	0	6	253	2575	12	49	0	140
TCGA-GV-A3QF-01A-31D-A22Y-01	BLCA_	a	433	1712	18869	0	0	0	1479	12	13363	0	0	1289	0	0	0	138	0	0	0	119	0	0	0
TCGA-GV-A3QF-01A-31D-A22Y-01	BLCA_	d	585	1119	3769	831	465	1518	11332	2432	9746	232	1366	0	0	0	313	343	0	0	0	55	1477	0	535
TCGA-CU-A0YN-01A-21D-A10T-01	BLCA_	a	11075	16	0	0	0	2717	9564	0	0	0	8057	1679	10333	16	72	5984	0	0	3396	0	0	0	0
TCGA-CU-A0YN-01A-21D-A10T-01	BLCA_	d	1069	20805	0	6	0	0	75	0	62	0	0	0	0	0	0	0	0	0	8	0	0	0	0
TCGA-FD-A3SP-01A-31D-A22Y-01	BLCA_	a	50034	6414	9846	0	0	963	0	7532	0	0	0	0	0	0	0	168	423	0	0	0	0	0	0
TCGA-FD-A3SP-01A-31D-A22Y-01	BLCA_	d	325	41	0	0	0	0	0	72	313	0	0	0	0	0	0	0	0	0	0	0	0	0	1576
TCGA-G2-A2EJ-01A-11D-A17S-01	BLCA_	a	0	888	0	39311	0	57	68	218	5074	0	0	0	269	12318	0	0	9938	0	0	0	0	0	0
TCGA-G2-A2EJ-01A-11D-A17S-01	BLCA_	d	166	5282	0	703	318	543	874	712	0	651	1939	96	0	573	0	227	0	0	0	0	0	0	124
TCGA-FD-A3SN-01A-12D-A22Y-01	BLCA_	a	0	0	43	4090	19857	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0
TCGA-FD-A3SN-01A-12D-A22Y-01	BLCA_	d	503	21984	16459	13432	255	0	23	8	0	0	0	0	0	0	8	0	0	0	17	3773	0	0	9
TCGA-BT-A20P-01A-11D-A14V-01	BLCA_	a	0	0	107	505	19056	0	0	662	686	0	0	0	244	763	0	629	6851	0	0	9177	0	0	15
TCGA-BT-A20P-01A-11D-A14V-01	BLCA_	d	0	16656	234	492	778	0	1637	5	0	7944	6	0	0	702	65	0	0	96	0	0	139	15	13375
TCGA-FJ-A3ZE-01A-11D-A23L-01	BLCA_	a	41	0	39485	0	0	0	0	1864	1677	0	0	0	0	4071	0	0	1995	111	2261	0	0	0	141
TCGA-FJ-A3ZE-01A-11D-A23L-01	BLCA_	d	0	169	22342	199	0	36	0	14	1951	87	0	28	55	0	0	0	0	0	4424	0	0	0	8
TCGA-DK-A3IN-01A-11D-A20B-01	BLCA_	a	0	0	17486	520	0	0	0	77	0	12881	11214	419	0	0	0	0	0	12451	0	0	0	351	0
TCGA-DK-A3IN-01A-11D-A20B-01	BLCA_	d	7	0	1153	7181	0	8	0	0	0	10	6616	7992	0	0	0	2701	0	0	0	0	0	0	0
TCGA-BT-A2LD-01A-12D-A20B-01	BLCA_	a	468	10538	2194	9236	0	1548	0	23717	0	6040	226	1686	1883	0	0	0	1003	0	7539	3435	11	0	4167
TCGA-BT-A2LD-01A-12D-A20B-01	BLCA_	d	0	85	0	0	0	0	0	0	0	0	7	0	0	7327	0	0	0	0	597	0	0	0	0
TCGA-G2-A2EL-01A-12D-A18E-01	BLCA_	a	28099	0	0	0	0	0	807	1547	0	0	0	0	14860	18	0	0	13	171	0	0	0	0	0
TCGA-G2-A2EL-01A-12D-A18E-01	BLCA_	d	524	967	17998	0	8533	232	107	1149	150	1580	825	685	713	85	0	2320	0	399	0	14	0	0	0
TCGA-CF-A3MI-01A-11D-A20B-01	BLCA_	a	0	0	0	0	0	0	0	20463	0	0	13	34216	0	0	0	0	0	0	0	0	0	22	0
TCGA-CF-A3MI-01A-11D-A20B-01	BLCA_	d	0	0	8	37	8	0	5	16321	0	0	13761	0	247	16	0	0	5	0	0	5	40	0	22
TCGA-BT-A20T-01A-11D-A14V-01	BLCA_	a	485	921	0	4264	4122	0	0	0	0	0	0	0	0	0	0	0	814	0	0	0	0	0	0
TCGA-BT-A20T-01A-11D-A14V-01	BLCA_	d	1530	7042	9	1226	36246	18413	76	24	627	939	0	1188	5458	0	0	0	176	0	0	0	0	1762	0
TCGA-FD-A3B7-01A-31D-A20B-01	BLCA_	a	0	0	0	18039	4833	3121	4743	1704	9903	201	6231	0	34580	0	0	0	0	1102	0	0	0	0	0
TCGA-FD-A3B7-01A-31D-A20B-01	BLCA_	d	0	0	0	1286	0	142	0	0	0	0	10	0	88	0	0	0	0	0	0	0	5	0	0
TCGA-DK-A1AE-01A-11D-A13V-01	BLCA_	a	0	301	28939	9780	0	0	0	12371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A1AE-01A-11D-A13V-01	BLCA_	d	12155	2357	398	8918	383	893	41	0	1140	477	0	216	6734	0	0	91	0	2315	0	0	0	0	1005
TCGA-BT-A0S7-01A-11D-A10T-01	BLCA_	a	0	0	0	282	0	0	0	317	7874	0	0	720	55596	0	0	0	0	0	0	1929	0	0	0
TCGA-BT-A0S7-01A-11D-A10T-01	BLCA_	d	12639	547	1082	1411	0	1117	0	3430	834	0	0	2024	0	0	1799	1060	793	138	0	43	2275	10	7
TCGA-BT-A42B-01A-32D-A23L-01	BLCA_	a	0	0	0	0	0	0	0	18937	0	0	3475	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BT-A42B-01A-32D-A23L-01	BLCA_	d	34872	228	17337	129	746	4758	789	4696	908	275	23	3928	726	0	130	3684	190	0	302	0	0	0	12
TCGA-C4-A0F0-01A-12D-A10T-01	BLCA_	a	0	0	0	57	0	0	71	1797	0	3488	2002	27442	288	0	0	0	0	0	27	0	0	0	0
TCGA-C4-A0F0-01A-12D-A10T-01	BLCA_	d	0	0	0	7255	543	0	188	0	0	0	360	27173	23734	0	3373	0	0	0	0	0	0	0	0
TCGA-H4-A2HQ-01A-11D-A17S-01	BLCA_	a	23516	9046	458	69	310	0	0	0	157	0	2962	6811	0	2257	0	6820	0	0	0	0	0	0	205
TCGA-H4-A2HQ-01A-11D-A17S-01	BLCA_	d	4550	46	1868	1339	80	26921	880	31	580	219	4221	0	0	159	1640	1297	1102	0	0	0	0	0	304
TCGA-GD-A2C5-01A-12D-A17S-01	BLCA_	a	1811	0	444	3582	0	13979	0	3716	1144	747	6424	710	0	78	1027	288	9695	1592	0	0	0	0	2355
TCGA-GD-A2C5-01A-12D-A17S-01	BLCA_	d	0	0	0	23359	1716	0	0	1010	0	0	7081	6314	0	6817	5	3809	2156	0	0	0	0	0	261
TCGA-DK-A3IV-01A-22D-A219-01	BLCA_	a	0	0	103	1853	444	105	5909	294	0	33349	580	0	0	0	0	7812	0	0	2322	1858	0	0	8633
TCGA-DK-A3IV-01A-22D-A219-01	BLCA_	d	0	0	0	5	15683	0	1813	183	366	0	157	5	14786	0	0	0	0	1329	34	0	0	0	3045
TCGA-CU-A3QU-01A-11D-A22Y-01	BLCA_	a	2494	77	0	68	0	772	8370	0	0	7735	69	34	0	0	0	10979	0	0	0	0	0	0	0
TCGA-CU-A3QU-01A-11D-A22Y-01	BLCA_	d	42915	20223	13	162	0	0	0	281	0	3333	6	0	1046	0	9608	0	82	11	0	0	0	0	0
TCGA-DK-A3X2-01A-11D-A22Y-01	BLCA_	a	0	139	21812	8178	0	0	279	35	53	881	0	3114	8388	6285	263	0	46	0	528	0	0	0	0
TCGA-DK-A3X2-01A-11D-A22Y-01	BLCA_	d	6	395	24796	14373	1418	13	16	0	0	0	0	0	15811	1163	75	0	0	264	144	0	0	103	0
TCGA-CF-A1HS-01A-11D-A13V-01	BLCA_	a	8041	1304	8967	0	9832	4187	1589	960	0	0	0	3949	19469	19161	0	3426	1408	0	1606	1889	0	0	0
TCGA-CF-A1HS-01A-11D-A13V-01	BLCA_	d	7	0	9084	10	58	31	682	426	6	18	0	7814	4449	0	0	0	372	0	857	0	0	0	418
TCGA-FD-A3SL-01A-21D-A22Y-01	BLCA_	a	23997	0	8568	12692	190	0	35	0	0	0	0	0	0	0	0	7641	80	0	5005	838	4142	0	1959
TCGA-FD-A3SL-01A-21D-A22Y-01	BLCA_	d	21953	0	11922	9	0	5	0	0	0	0	0	0	87	0	0	1119	0	0	276	0	0	4126	6225
TCGA-BT-A2LB-01A-11D-A18E-01	BLCA_	a	21638	140	44746	0	506	0	8521	2306	0	47	0	0	0	0	0	817	0	44	0	0	0	0	0
TCGA-BT-A2LB-01A-11D-A18E-01	BLCA_	d	570	126	21216	522	1424	0	6428	512	484	0	0	0	0	291	0	0	0	6	0	325	256	0	0
TCGA-FD-A3SS-01A-12D-A22Y-01	BLCA_	a	0	16749	0	19754	0	7004	0	582	0	0	0	0	0	0	134	0	0	274	0	0	0	0	0
TCGA-FD-A3SS-01A-12D-A22Y-01	BLCA_	d	0	17132	0	0	0	20910	0	1156	0	12577	0	0	10408	0	0	0	0	0	14	0	7463	5347	0
