rank	name	cytoband	q value	residual q value	wide peak boundaries	gene_count	at_telomere	large_genes	freq_mutated_genes	chromatin_genes	known TSG
42	CNTN4	3p26.3	6.44E-09	6.44E-09	chr3:1-3100786	3	yes	CNTN4			
43	3p12.2	3p12.2	1.29E-21	1.22E-07	chr3:75363575-86988125	12	no	"ROBO1,CADM2"			
44	RAD51B	14q24.1	1.86E-08	1.38E-07	chr14:68275375-69288431	2	no	RAD51B	ZFP36L1		
45	11q23.1	11q23.1	6.09E-21	5.31E-07	chr11:105849158-117024891	84	no		ATM		
46	IMMP2L	7q31.1	4.03E-07	5.74E-07	chr7:109599468-111366370	2	no	IMMP2L			
47	NEGR1	1p31.1	1.92E-10	7.25E-07	chr1:71699756-74522473	2	no	NEGR1			
48	BRCA1	17q21.31	4.31E-11	7.25E-07	chr17:41178765-41336147	2	no		BRCA1		BRCA1
49	9q34.3	9q34.3	8.73E-06	8.73E-06	chr9:135441810-139646221	94	no		NOTCH1	"BRD3,GTF3C4"	
50	ANKS1B	12q23.1	5.27E-08	8.73E-06	chr12:99124001-100431272	2	no	ANKS1B			
51	DMD	Xp21.2	5.11E-05	5.15E-05	chrX:30865118-34644819	4	no	DMD	DMD		
52	ZMYND11	10p15.3	7.17E-05	7.12E-05	chr10:1-857150	4	yes			ZMYND11	
53	PRKG1	10q11.23	6.80E-05	9.79E-05	chr10:52644085-54061437	3	no	PRKG1			
54	FOXK2	17q25.3	0.00019483	0.00019271	chr17:80443432-80574531	1	no				
55	AGBL4	1p33	1.07E-07	0.000219	chr1:48935280-50514967	2	no	AGBL4			
56	CDKN1B	12p13.1	0.00036433	0.00035777	chr12:12710990-12966966	5	no		CDKN1B		CDK1B
57	14q32.33	14q32.33	9.45E-05	0.00074358	chr14:94381429-107349540	227	yes		AKT1	"SETD3,TDRD9"	
58	14q11.2	14q11.2	0.0010181	0.0010181	chr14:1-30047530	162	yes			"PRMT5,CHD8"	
59	2p25.3	2p25.3	0.0011137	0.0011137	chr2:1-20072169	86	yes				
60	5q35.3	5q35.3	0.0028515	0.0028515	chr5:153840473-180915260	212	yes	ODZ2	"NPM1,TRIM7"	NSD1	
61	PTTG1IP	21q22.3	0.012351	0.012227	chr21:46230687-46306160	1	no				
62	22q11.1	22q11.1	0.020332	0.020332	chr22:1-17960585	15	yes				
63	SMAD4	18q21.2	6.39E-06	0.036866	chr18:48472083-48920689	3	no		SMAD4		SMAD4
64	17p13.3	17p13.3	0.040633	0.040814	chr17:1-1180022	16	yes				
65	4p16.3	4p16.3	0.056345	0.056345	chr4:1-1243876	27	yes				
66	9p21.2	9p21.2	4.44E-25	0.091742	chr9:27572512-28982153	3	no				
67	10q25.1	10q25.1	7.54E-17	0.11879	chr10:99340084-113910615	137	no	HPSE2		SMNDC1	
68	SMYD3	1q44	0.15417	0.15417	chr1:245282267-247110824	8	no			SMYD3	
69	8p11.21	8p11.21	0.1289	0.17382	chr8:42883855-47753079	4	no				
70	Xp22.33	Xp22.33	0.21375	0.21462	chrX:1-11137490	52	yes				
